"","0.01","0.03","0.05"
"SL.LR+","3.731 (2.757, 1)","5.514 (3.985, 1)","6.656 (4.935, 1)"
"GLM.LR+","3.935 (2.456, 1)","6.25 (4.314, 1)","7.745 (5.477, 1)"
"SL.LR-","0.06 (0, 0.144)","0.085 (0.017, 0.174)","0.103 (0.03, 0.195)"
"GLM.LR-","0.074 (0, 0.182)","0.093 (0.031, 0.193)","0.109 (0.034, 0.204)"
