"","0.01","0.03","0.05"
"SL.Sensitivity","0.956 (0.896, 1)","0.93 (0.861, 0.986)","0.912 (0.833, 0.974)"
"SL.Specificity","0.736 (0.661, 0.817)","0.827 (0.778, 0.872)","0.86 (0.821, 0.897)"
"SL.Pos Pred Value","0.231 (0.173, 0.307)","0.307 (0.238, 0.387)","0.349 (0.274, 0.435)"
"SL.Neg Pred Value","0.995 (0.987, 1)","0.993 (0.986, 0.999)","0.992 (0.984, 0.997)"
"GLM.Sensitivity","0.946 (0.874, 1)","0.921 (0.842, 0.973)","0.904 (0.822, 0.97)"
"GLM.Specificity","0.745 (0.624, 0.854)","0.847 (0.792, 0.9)","0.88 (0.842, 0.916)"
"GLM.Pos Pred Value","0.239 (0.162, 0.339)","0.333 (0.254, 0.429)","0.383 (0.301, 0.475)"
"GLM.Neg Pred Value","0.994 (0.986, 1)","0.993 (0.985, 0.997)","0.991 (0.984, 0.997)"
