"","0.01","0.03","0.05"
"SL.LR+","3.218 (2.135, 5.067)","5.042 (3.376, 7.637)","6.127 (4.043, 8.984)"
"GLM.LR+","2.435 (1.438, 4.085)","4.904 (3.03, 7.622)","6.542 (4.135, 9.816)"
"SL.LR-","0.131 (0.042, 0.24)","0.176 (0.084, 0.282)","0.185 (0.092, 0.304)"
"GLM.LR-","0.108 (0.02, 0.299)","0.141 (0.052, 0.25)","0.167 (0.084, 0.274)"
