"","0.01","0.03","0.05"
"SL.Sensitivity","0.91 (0.841, 0.969)","0.856 (0.779, 0.927)","0.842 (0.75, 0.918)"
"SL.Specificity","0.702 (0.578, 0.819)","0.824 (0.76, 0.88)","0.858 (0.808, 0.9)"
"SL.Pos Pred Value","0.205 (0.144, 0.287)","0.287 (0.217, 0.38)","0.329 (0.251, 0.42)"
"SL.Neg Pred Value","0.99 (0.98, 0.997)","0.986 (0.976, 0.994)","0.985 (0.975, 0.993)"
"GLM.Sensitivity","0.941 (0.861, 0.988)","0.886 (0.794, 0.955)","0.856 (0.767, 0.925)"
"GLM.Specificity","0.582 (0.354, 0.772)","0.809 (0.712, 0.88)","0.863 (0.8, 0.911)"
"GLM.Pos Pred Value","0.162 (0.102, 0.245)","0.281 (0.2, 0.379)","0.342 (0.248, 0.443)"
"GLM.Neg Pred Value","0.991 (0.977, 0.998)","0.989 (0.981, 0.996)","0.987 (0.978, 0.993)"
